"","everwrk","age_p","r_maritl"
"3009","1 Yes",31,"2 Married - spouse not in household"
"3010","1 Yes",42,"2 Married - spouse not in household"
"3011","2 No",18,"7 Never married"
"3012","1 Yes",64,"1 Married - spouse in household"
"3013","1 Yes",78,"4 Widowed"
"3014","1 Yes",58,"1 Married - spouse in household"
"3015","1 Yes",59,"1 Married - spouse in household"
"3016","1 Yes",79,"1 Married - spouse in household"
"3017","1 Yes",50,"5 Divorced"
"3018","1 Yes",51,"1 Married - spouse in household"
"3019","1 Yes",65,"1 Married - spouse in household"
"3020","1 Yes",85,"1 Married - spouse in household"
"3021","2 No",48,"1 Married - spouse in household"
"3022","1 Yes",52,"1 Married - spouse in household"
"3023","1 Yes",78,"4 Widowed"
"3024","1 Yes",40,"8 Living with partner"
"3025","1 Yes",63,"1 Married - spouse in household"
"3026","1 Yes",85,"1 Married - spouse in household"
"3027","1 Yes",43,"1 Married - spouse in household"
"3028","2 No",30,"1 Married - spouse in household"
"3029","1 Yes",60,"5 Divorced"
"3030","2 No",48,"5 Divorced"
"3031","1 Yes",34,"1 Married - spouse in household"
"3032","1 Yes",67,"1 Married - spouse in household"
"3033","1 Yes",76,"1 Married - spouse in household"
"3034","1 Yes",69,"1 Married - spouse in household"
"3035","2 No",26,"7 Never married"
"3036","1 Yes",49,"1 Married - spouse in household"
"3037","1 Yes",75,"5 Divorced"
"3038","1 Yes",44,"1 Married - spouse in household"
"3039","1 Yes",40,"1 Married - spouse in household"
"3040","1 Yes",43,"6 Separated"
"3041","1 Yes",63,"1 Married - spouse in household"
"3042","2 No",55,"1 Married - spouse in household"
"3043","1 Yes",63,"1 Married - spouse in household"
"3044","1 Yes",53,"1 Married - spouse in household"
"3045","1 Yes",83,"5 Divorced"
"3046","1 Yes",48,"8 Living with partner"
"3047","1 Yes",42,"1 Married - spouse in household"
"3048","1 Yes",25,"8 Living with partner"
"3049","1 Yes",30,"1 Married - spouse in household"
"3050","1 Yes",76,"5 Divorced"
"3051","1 Yes",85,"4 Widowed"
"3052","1 Yes",48,"8 Living with partner"
"3053","1 Yes",44,"1 Married - spouse in household"
"3054","1 Yes",83,"5 Divorced"
"3055","1 Yes",62,"5 Divorced"
"3056","1 Yes",46,"1 Married - spouse in household"
"3057","1 Yes",21,"7 Never married"
"3058","1 Yes",85,"4 Widowed"
"3059","1 Yes",36,"1 Married - spouse in household"
"3060","1 Yes",23,"7 Never married"
"3061","1 Yes",53,"1 Married - spouse in household"
"3062","1 Yes",45,"2 Married - spouse not in household"
"3063","1 Yes",32,"1 Married - spouse in household"
"3064","1 Yes",64,"4 Widowed"
"3065","2 No",61,"7 Never married"
"3066","1 Yes",60,"7 Never married"
"3067","1 Yes",44,"1 Married - spouse in household"
"3068","1 Yes",68,"4 Widowed"
"3069","1 Yes",52,"7 Never married"
"3070","1 Yes",71,"1 Married - spouse in household"
"3071","1 Yes",38,"1 Married - spouse in household"
"3072","1 Yes",85,"4 Widowed"
"3073","1 Yes",30,"7 Never married"
"3074","1 Yes",54,"6 Separated"
"3075","1 Yes",46,"1 Married - spouse in household"
"3076","1 Yes",31,"7 Never married"
"3077","2 No",40,"1 Married - spouse in household"
"3078","1 Yes",19,"7 Never married"
"3079","1 Yes",33,"5 Divorced"
"3080","2 No",22,"7 Never married"
"3081","1 Yes",64,"5 Divorced"
"3082","1 Yes",40,"1 Married - spouse in household"
"3083","1 Yes",27,"7 Never married"
"3084","1 Yes",23,"7 Never married"
"3085","1 Yes",83,"4 Widowed"
"3086","1 Yes",81,"4 Widowed"
"3087","2 No",28,"1 Married - spouse in household"
"3088","1 Yes",25,"8 Living with partner"
"3089","1 Yes",44,"1 Married - spouse in household"
"3090","1 Yes",22,"7 Never married"
"3091","1 Yes",61,"5 Divorced"
"3092","1 Yes",52,"1 Married - spouse in household"
"3093","1 Yes",85,"4 Widowed"
"3094","2 No",19,"7 Never married"
"3095","1 Yes",66,"4 Widowed"
"3096","1 Yes",47,"1 Married - spouse in household"
"3097","1 Yes",24,"7 Never married"
"3098","1 Yes",35,"7 Never married"
"3099","2 No",40,"2 Married - spouse not in household"
"3100","1 Yes",85,"5 Divorced"
"3101","1 Yes",31,"7 Never married"
"3102","2 No",38,"1 Married - spouse in household"
"3103","1 Yes",27,"7 Never married"
"3104","2 No",66,"1 Married - spouse in household"
"3105","1 Yes",29,"1 Married - spouse in household"
"3106","1 Yes",32,"5 Divorced"
"3107","1 Yes",51,"5 Divorced"
"3108","1 Yes",73,"1 Married - spouse in household"
"3109","2 No",67,"1 Married - spouse in household"
"3110","1 Yes",45,"1 Married - spouse in household"
"3111","1 Yes",82,"5 Divorced"
"3112","2 No",28,"1 Married - spouse in household"
"3113","1 Yes",32,"1 Married - spouse in household"
"3114","1 Yes",26,"1 Married - spouse in household"
"3115","1 Yes",64,"1 Married - spouse in household"
"3116","1 Yes",43,"1 Married - spouse in household"
"3117","1 Yes",30,"7 Never married"
"3118","1 Yes",29,"1 Married - spouse in household"
"3119","1 Yes",50,"5 Divorced"
"3120","1 Yes",65,"7 Never married"
"3121","1 Yes",23,"7 Never married"
"3122","1 Yes",58,"5 Divorced"
"3123","1 Yes",79,"4 Widowed"
"3124","1 Yes",52,"5 Divorced"
"3125","2 No",45,"1 Married - spouse in household"
"3126","1 Yes",52,"7 Never married"
"3127","2 No",23,"8 Living with partner"
"3128","1 Yes",85,"4 Widowed"
"3129","1 Yes",85,"4 Widowed"
"3130","1 Yes",79,"4 Widowed"
"3131","1 Yes",24,"1 Married - spouse in household"
"3132","1 Yes",32,"6 Separated"
"3133","1 Yes",60,"7 Never married"
"3134","1 Yes",76,"1 Married - spouse in household"
"3135","1 Yes",19,"8 Living with partner"
"3136","1 Yes",38,"2 Married - spouse not in household"
"3137","1 Yes",64,"5 Divorced"
"3138","1 Yes",46,"1 Married - spouse in household"
"3139","2 No",25,"1 Married - spouse in household"
"3140","1 Yes",77,"4 Widowed"
"3141","1 Yes",38,"1 Married - spouse in household"
"3142","1 Yes",25,"7 Never married"
"3143","1 Yes",80,"1 Married - spouse in household"
"3144","1 Yes",62,"1 Married - spouse in household"
"3145","1 Yes",42,"1 Married - spouse in household"
"3146","1 Yes",48,"1 Married - spouse in household"
"3147","1 Yes",42,"6 Separated"
"3148","2 No",18,"7 Never married"
"3149","1 Yes",22,"7 Never married"
"3150","1 Yes",52,"1 Married - spouse in household"
"3151","1 Yes",35,"7 Never married"
"3152","1 Yes",71,"1 Married - spouse in household"
"3153","1 Yes",85,"4 Widowed"
"3154","1 Yes",33,"1 Married - spouse in household"
"3155","1 Yes",41,"1 Married - spouse in household"
"3156","1 Yes",70,"1 Married - spouse in household"
"3157","1 Yes",29,"7 Never married"
"3158","1 Yes",58,"5 Divorced"
"3159","1 Yes",48,"1 Married - spouse in household"
"3160","2 No",47,"7 Never married"
"3161","1 Yes",79,"8 Living with partner"
"3162","1 Yes",61,"5 Divorced"
"3163","1 Yes",44,"5 Divorced"
"3164","1 Yes",68,"1 Married - spouse in household"
"3165","1 Yes",55,"1 Married - spouse in household"
"3166","2 No",35,"7 Never married"
"3167","1 Yes",77,"1 Married - spouse in household"
"3168","1 Yes",76,"1 Married - spouse in household"
"3169","1 Yes",67,"5 Divorced"
"3170","1 Yes",51,"1 Married - spouse in household"
"3171","1 Yes",25,"7 Never married"
"3172","1 Yes",44,"1 Married - spouse in household"
"3173","2 No",34,"1 Married - spouse in household"
"3174","1 Yes",50,"1 Married - spouse in household"
"3175","2 No",32,"1 Married - spouse in household"
"3176","1 Yes",35,"1 Married - spouse in household"
"3177","1 Yes",22,"7 Never married"
"3178","2 No",68,"1 Married - spouse in household"
"3179","1 Yes",38,"6 Separated"
"3180","1 Yes",31,"7 Never married"
"3181","2 No",52,"1 Married - spouse in household"
"3182","1 Yes",48,"1 Married - spouse in household"
"3183","1 Yes",30,"7 Never married"
"3184","1 Yes",34,"7 Never married"
"3185","1 Yes",35,"7 Never married"
"3186","1 Yes",52,"1 Married - spouse in household"
"3187","1 Yes",45,"5 Divorced"
"3188","2 No",44,"6 Separated"
"3189","1 Yes",24,"8 Living with partner"
"3190","2 No",30,"7 Never married"
"3191","1 Yes",30,"1 Married - spouse in household"
"3192","2 No",20,"7 Never married"
"3193","2 No",20,"7 Never married"
"3194","1 Yes",20,"7 Never married"
"3195","1 Yes",66,"5 Divorced"
"3196","1 Yes",42,"5 Divorced"
"3197","1 Yes",38,"5 Divorced"
"3198","1 Yes",53,"1 Married - spouse in household"
"3199","1 Yes",29,"8 Living with partner"
"3200","1 Yes",23,"7 Never married"
"3201","1 Yes",29,"7 Never married"
"3202","2 No",85,"4 Widowed"
"3203","1 Yes",67,"1 Married - spouse in household"
"3204","1 Yes",67,"1 Married - spouse in household"
"3205","1 Yes",72,"1 Married - spouse in household"
"3206","1 Yes",76,"1 Married - spouse in household"
"3207","2 No",37,"1 Married - spouse in household"
"3208","1 Yes",59,"7 Never married"
"3209","1 Yes",84,"1 Married - spouse in household"
"3210","1 Yes",37,"7 Never married"
"3211","1 Yes",33,"1 Married - spouse in household"
"3212","1 Yes",41,"1 Married - spouse in household"
"3213","2 No",29,"1 Married - spouse in household"
"3214","1 Yes",23,"7 Never married"
"3215","1 Yes",23,"7 Never married"
"3216","1 Yes",63,"1 Married - spouse in household"
"3217","1 Yes",68,"4 Widowed"
"3218","1 Yes",70,"7 Never married"
"3219","1 Yes",58,"1 Married - spouse in household"
"3220","1 Yes",65,"5 Divorced"
"3221","1 Yes",53,"8 Living with partner"
"3222","2 No",49,"6 Separated"
"3223","1 Yes",85,"4 Widowed"
"3224","1 Yes",36,"7 Never married"
"3225","1 Yes",68,"1 Married - spouse in household"
"3226","1 Yes",52,"7 Never married"
"3227","1 Yes",37,"5 Divorced"
"3228","1 Yes",22,"7 Never married"
"3229","1 Yes",23,"8 Living with partner"
"3230","1 Yes",29,"7 Never married"
"3231","2 No",35,"4 Widowed"
"3232","1 Yes",64,"2 Married - spouse not in household"
"3233","1 Yes",63,"5 Divorced"
"3234","2 No",26,"7 Never married"
"3235","1 Yes",63,"1 Married - spouse in household"
"3236","1 Yes",65,"1 Married - spouse in household"
"3237","1 Yes",19,"7 Never married"
"3238","1 Yes",36,"1 Married - spouse in household"
"3239","1 Yes",40,"1 Married - spouse in household"
"3240","1 Yes",43,"1 Married - spouse in household"
"3241","2 No",40,"1 Married - spouse in household"
"3242","1 Yes",63,"5 Divorced"
"3243","1 Yes",29,"1 Married - spouse in household"
"3244","2 No",36,"7 Never married"
"3245","2 No",19,"7 Never married"
"3246","2 No",69,"1 Married - spouse in household"
"3247","1 Yes",23,"7 Never married"
"3248","1 Yes",56,"1 Married - spouse in household"
"3249","1 Yes",77,"1 Married - spouse in household"
"3250","1 Yes",41,"1 Married - spouse in household"
"3251","1 Yes",67,"6 Separated"
"3252","1 Yes",22,"7 Never married"
"3253","1 Yes",43,"1 Married - spouse in household"
"3254","1 Yes",42,"1 Married - spouse in household"
"3255","2 No",79,"1 Married - spouse in household"
"3256","1 Yes",29,"1 Married - spouse in household"
"3257","2 No",26,"1 Married - spouse in household"
"3258","1 Yes",37,"1 Married - spouse in household"
"3259","1 Yes",46,"1 Married - spouse in household"
"3260","2 No",38,"1 Married - spouse in household"
"3261","1 Yes",41,"6 Separated"
"3262","1 Yes",43,"1 Married - spouse in household"
"3263","1 Yes",39,"1 Married - spouse in household"
"3264","1 Yes",37,"5 Divorced"
"3265","1 Yes",35,"1 Married - spouse in household"
"3266","1 Yes",73,"4 Widowed"
"3267","2 No",27,"7 Never married"
"3268","1 Yes",67,"7 Never married"
"3269","1 Yes",49,"7 Never married"
"3270","1 Yes",55,"8 Living with partner"
"3271","1 Yes",85,"4 Widowed"
"3272","2 No",29,"7 Never married"
"3273","1 Yes",81,"1 Married - spouse in household"
"3274","1 Yes",40,"1 Married - spouse in household"
"3275","1 Yes",64,"4 Widowed"
"3276","1 Yes",33,"7 Never married"
"3277","1 Yes",34,"7 Never married"
"3278","2 No",28,"7 Never married"
"3279","1 Yes",33,"7 Never married"
"3280","1 Yes",32,"5 Divorced"
"3281","1 Yes",29,"8 Living with partner"
"3282","1 Yes",85,"4 Widowed"
"3283","1 Yes",25,"7 Never married"
"3284","1 Yes",55,"6 Separated"
"3285","1 Yes",25,"1 Married - spouse in household"
"3286","1 Yes",38,"1 Married - spouse in household"
"3287","1 Yes",41,"1 Married - spouse in household"
"3288","1 Yes",22,"7 Never married"
"3289","1 Yes",64,"1 Married - spouse in household"
"3290","2 No",72,"1 Married - spouse in household"
"3291","1 Yes",69,"4 Widowed"
"3292","1 Yes",46,"7 Never married"
"3293","1 Yes",59,"7 Never married"
"3294","1 Yes",43,"7 Never married"
"3295","1 Yes",33,"1 Married - spouse in household"
"3296","1 Yes",59,"1 Married - spouse in household"
"3297","1 Yes",41,"1 Married - spouse in household"
"3298","2 No",31,"1 Married - spouse in household"
"3299","1 Yes",22,"7 Never married"
"3300","1 Yes",54,"7 Never married"
"3301","1 Yes",19,"8 Living with partner"
"3302","1 Yes",34,"8 Living with partner"
"3303","2 No",62,"1 Married - spouse in household"
"3304","1 Yes",53,"1 Married - spouse in household"
"3305","1 Yes",62,"1 Married - spouse in household"
"3306","1 Yes",38,"7 Never married"
"3307","1 Yes",46,"7 Never married"
"3308","1 Yes",50,"1 Married - spouse in household"
"3309","1 Yes",60,"1 Married - spouse in household"
"3310","1 Yes",30,"7 Never married"
"3311","1 Yes",52,"1 Married - spouse in household"
"3312","1 Yes",27,"7 Never married"
"3313","1 Yes",20,"8 Living with partner"
"3314","2 No",20,"7 Never married"
"3315","1 Yes",43,"5 Divorced"
"3316","1 Yes",66,"4 Widowed"
"3317","1 Yes",55,"1 Married - spouse in household"
"3318","1 Yes",63,"7 Never married"
"3319","1 Yes",33,"1 Married - spouse in household"
"3320","1 Yes",77,"1 Married - spouse in household"
"3321","1 Yes",24,"7 Never married"
"3322","1 Yes",72,"1 Married - spouse in household"
"3323","1 Yes",27,"7 Never married"
"3324","1 Yes",58,"5 Divorced"
"3325","1 Yes",82,"1 Married - spouse in household"
"3326","1 Yes",42,"1 Married - spouse in household"
"3327","1 Yes",65,"1 Married - spouse in household"
"3328","1 Yes",49,"6 Separated"
"3329","1 Yes",34,"7 Never married"
"3330","2 No",85,"4 Widowed"
"3331","1 Yes",41,"6 Separated"
"3332","1 Yes",76,"4 Widowed"
"3333","2 No",28,"1 Married - spouse in household"
"3334","1 Yes",60,"5 Divorced"
"3335","1 Yes",71,"1 Married - spouse in household"
"3336","1 Yes",33,"1 Married - spouse in household"
"3337","1 Yes",36,"7 Never married"
"3338","1 Yes",72,"1 Married - spouse in household"
"3339","1 Yes",28,"7 Never married"
"3340","2 No",29,"7 Never married"
"3341","1 Yes",24,"7 Never married"
"3342","1 Yes",40,"7 Never married"
"3343","1 Yes",28,"1 Married - spouse in household"
"3344","1 Yes",60,"5 Divorced"
"3345","1 Yes",60,"5 Divorced"
"3346","1 Yes",26,"6 Separated"
"3347","2 No",47,"1 Married - spouse in household"
"3348","1 Yes",52,"5 Divorced"
"3349","1 Yes",48,"1 Married - spouse in household"
"3350","2 No",57,"7 Never married"
"3351","2 No",44,"7 Never married"
"3352","1 Yes",68,"1 Married - spouse in household"
"3353","1 Yes",31,"7 Never married"
"3354","1 Yes",38,"1 Married - spouse in household"
"3355","1 Yes",63,"1 Married - spouse in household"
"3356","1 Yes",27,"7 Never married"
"3357","1 Yes",85,"4 Widowed"
"3358","1 Yes",70,"1 Married - spouse in household"
"3359","1 Yes",85,"4 Widowed"
"3360","1 Yes",57,"4 Widowed"
"3361","1 Yes",48,"7 Never married"
"3362","1 Yes",19,"7 Never married"
"3363","1 Yes",24,"7 Never married"
"3364","2 No",25,"7 Never married"
"3365","1 Yes",24,"1 Married - spouse in household"
"3366","1 Yes",48,"6 Separated"
"3367","2 No",25,"7 Never married"
"3368","2 No",23,"1 Married - spouse in household"
"3369","2 No",23,"7 Never married"
"3370","1 Yes",26,"7 Never married"
"3371","1 Yes",35,"8 Living with partner"
"3372","1 Yes",21,"7 Never married"
"3373","1 Yes",33,"1 Married - spouse in household"
"3374","1 Yes",37,"7 Never married"
"3375","1 Yes",62,"1 Married - spouse in household"
"3376","1 Yes",72,"1 Married - spouse in household"
"3377","1 Yes",82,"4 Widowed"
"3378","1 Yes",58,"1 Married - spouse in household"
"3379","1 Yes",39,"1 Married - spouse in household"
"3380","2 No",59,"7 Never married"
"3381","1 Yes",56,"5 Divorced"
"3382","1 Yes",55,"6 Separated"
"3383","1 Yes",51,"1 Married - spouse in household"
"3384","1 Yes",33,"7 Never married"
"3385","1 Yes",74,"5 Divorced"
"3386","1 Yes",36,"5 Divorced"
"3387","1 Yes",62,"6 Separated"
"3388","2 No",43,"1 Married - spouse in household"
"3389","1 Yes",42,"5 Divorced"
"3390","1 Yes",33,"5 Divorced"
"3391","1 Yes",70,"4 Widowed"
"3392","1 Yes",59,"1 Married - spouse in household"
"3393","1 Yes",78,"4 Widowed"
"3394","1 Yes",26,"7 Never married"
"3395","1 Yes",59,"1 Married - spouse in household"
"3396","1 Yes",51,"5 Divorced"
"3397","2 No",25,"8 Living with partner"
"3398","1 Yes",51,"5 Divorced"
"3399","1 Yes",55,"1 Married - spouse in household"
"3400","2 No",44,"8 Living with partner"
"3401","1 Yes",28,"7 Never married"
"3402","1 Yes",38,"7 Never married"
"3403","1 Yes",62,"5 Divorced"
"3404","1 Yes",61,"1 Married - spouse in household"
"3405","1 Yes",46,"5 Divorced"
"3406","1 Yes",35,"1 Married - spouse in household"
"3407","1 Yes",44,"1 Married - spouse in household"
"3408","1 Yes",51,"1 Married - spouse in household"
"3409","1 Yes",60,"1 Married - spouse in household"
"3410","1 Yes",33,"1 Married - spouse in household"
"3411","1 Yes",80,"4 Widowed"
"3412","1 Yes",24,"7 Never married"
"3413","1 Yes",67,"1 Married - spouse in household"
"3414","1 Yes",39,"1 Married - spouse in household"
"3415","1 Yes",39,"6 Separated"
"3416","2 No",19,"7 Never married"
"3417","1 Yes",50,"1 Married - spouse in household"
"3418","2 No",29,"7 Never married"
"3419","2 No",61,"5 Divorced"
"3420","1 Yes",85,"7 Never married"
"3421","1 Yes",43,"1 Married - spouse in household"
"3422","1 Yes",57,"1 Married - spouse in household"
"3423","1 Yes",57,"1 Married - spouse in household"
"3424","1 Yes",66,"1 Married - spouse in household"
"3425","1 Yes",59,"4 Widowed"
"3426","1 Yes",63,"1 Married - spouse in household"
"3427","2 No",31,"8 Living with partner"
"3428","1 Yes",47,"7 Never married"
"3429","2 No",69,"1 Married - spouse in household"
